StoryID,GroupOrder,ViewOrder,NameJP,PhraseJP,NameEN,PhraseEN
41022101,1,1,ウォータールー,「オアハカ、お兄ちゃんも早く早くー！」,,
41022101,2,1,オアハカ,「待って下さいウォータールー、\n　そんなに急がなくてもチョコラテはなくなりませんよ」,,
41022101,3,1,ウォータールー,「だって早く飲みたいんだもん！」,,
41022101,4,1,,昼飯を求める客で賑わうマーケットの中を、ウォータールーが駆けていく。\nそんな元気娘に振り回されるように、オアハカが後を追いかけていた。,,
41022101,5,1,,現在、特鉄隊は任務でＭフレイマリンのとある地方都市を訪れている。\nオアハカの故郷に近いこともあり、\n土地柄に詳しいだろう彼女を中心に部隊を編制し、\n幻霧の調査に当たっているところだ。,,
41022101,6,1,ウォータールー,「あっ、この看板のイラストかわいい～。\n　ねえオアハカ、このお店にしよっ！」,,
41022101,7,1,オアハカ,「あら、いいお店を選びましたね。\n　シナモンとアーモンドの伝統的な味を守り続ける老舗です。\n　このチョコレートの深い茶色が見た目にも安らぎをですね……」,,
41022101,8,1,ウォータールー,「じゃあルーはね、このカラフルなパステルソイラテ！」,,
41022101,9,1,オアハカ,「チョコラテが飲みたいんじゃなかったんですか……」,,
41022101,10,1,,オアハカの説明も空しく、\nまったく違うものを注文するウォータールー。,,
41022101,11,1,オアハカ,「まあ老舗の店なんで、\n　何を飲んでも美味しいと思いますが。\n　車掌さんは伝統のチョコラテでいいですか？」,,
41022101,12,1,,ああ、ぜひ頂こう。\nそろそろキングスクロスも来るはずだから、\n彼女の分も買っておこうか。,,
41022101,13,1,ウォータールー,「じゃあキングスクロスお姉ちゃんには、\n　この特大のチョコラテ！」,,
41022101,14,1,オアハカ,「ウォ、ウォータールー、\n　そのバケツみたいなサイズのチョコラテを\n　キングスクロスさんに買っていくんですか？」,,
41022101,15,1,ウォータールー,「うん！　だって甘いものって疲れにいいんだよね？」,,
41022101,16,1,ウォータールー,「キングスクロスお姉ちゃん、\n　いつも『忙しいから遊ぶのはまた今度ね』って言って、\n　ルーと遊べないくらいお仕事が大変そうなの。\n　だから、これ飲んでお姉ちゃんに疲れ取ってもらうんだ～」,,
41022101,17,1,,バケツのラテを嬉しそうに抱えるウォータールー。\n量的にもカロリー的にも、乙女には残酷なものである。\nとはいえ、キングスクロスの身を案じての行為だ、\n止められるものではない。,,
41022101,18,1,キングスクロス,「待たせたわね、みんな」,,
41022101,19,1,,噂をすれば何とやら、\nちょうどテーブルに着いたところでキングスクロスがやって来た。\nＭフレイマリンの鉄道軍とは話がついたのか？,,
