StoryID,GroupOrder,ViewOrder,NameJP,PhraseJP,NameEN,PhraseEN
403999301,1,1,パディントン,「停車確認！　セントイリス『特鉄隊』駐屯地に到着です！」,,
403999301,2,1,パディントン,「車掌どの、お疲れ様でした。\n　記念式典では素晴らしい演説でしたね。\n　特鉄隊の皆さんもきっと士気が高まったことでしょう」,,
403999301,3,1,パディントン,「今日が特鉄隊の本格始動ということなので、\n　改めてご挨拶をさせていただきますね」,,
403999301,4,1,パディントン,「このたび車掌どのの副官に任命されましたパディントンです。\n　セントイリスの神子の名に恥じぬよう、精一杯がんばりたいと思います。\n　私にできることでしたら、何なりとご命令くださいね」,,
403999301,5,1,パディントン,「たとえ私にできないことでも、すべて私にお任せください！」,,
403999301,6,1,パディントン,「これから車掌どのはこの駐屯地で\n　特鉄隊の皆さんと一緒に過ごしていただきます。\n　任務があれば列車で出動となりますが、\n　平時は教官としてその手腕を振るって頂くことになります」,,
403999301,7,1,パディントン,「簡単に説明しましたが、もし今後ご不明な点があれば\n　いつでも私を頼ってくださいね。\n　どんなことでも、車掌どののお力になりたいのです。\n　私は……戦闘には参加できませんから」,,
403999301,8,1,パディントン,「私、神子としての力がほぼないんですよ。\n　優秀な姉が四人もいるのに、昔から私だけ何もできなくて……」,,
403999301,9,1,パディントン,「その点、車掌どのはすごいです！\n　神子の力は女性にのみ継承されるというのに、\n　列車を動かせるほどの力を扱えるなんて、これまでに前例がありません」,,
403999301,10,1,パディントン,「それに、車掌どののお母様は連合軍の英雄です。\n　幻霧との戦いでたてた武勲は数知れず、\n　この列車を設計し、『特鉄隊』の基盤を作り上げた史上最高の神子。\n　車掌どのが特別な力を使えるのも納得できます」,,
403999301,11,1,パディントン,「はっ！　す、すみません私、緊張してべらべらと！」,,
403999301,12,1,パディントン,「子供の頃からずっと車掌どのに憧れてましたので、つい……。\n　車掌どのの副官としてこの列車に同乗することができて幸せです」,,
403999301,13,1,パディントン,「でも、トレインナイトの皆さんにちょっとだけ嫉妬しちゃいます。\n　トレインナイトは鉄道で力を存分に発揮するために\n　神子による魔力の供給――『鉄分』の注入があります。\n　私、ずっとそれが羨ましくて……」,,
403999301,14,1,パディントン,「……まだ、もう少しだけお時間ありますよね？」,,
403999301,15,1,パディントン,「あの、車掌どの……。\n　もしよろしければ、試しに私にも鉄分注入してみてくださいっ！\n　私は神子ですが、丸暗記以外とくに何も才能がないので\n　注入することはできませんが、されることならきっとできるかとっ！」,,
403999301,16,1,パディントン,「はわわ、言っちゃいました！\n　はしたない女だって思わないでください……」,,
403999301,17,1,パディントン,「方法は車掌どのにお任せします。\n　他の皆さんに気づかれないよう、ここでしてください。\n　私もトレインナイトの皆さんと同様に、車掌どのに全てを委ねます。\n　その覚悟を、ちゃんとお見せしたいのです」,,
403999301,18,1,パディントン,「……でも、あんまり痛くしないでくださいね？」,,
403999302,1,1,,自分から求めるだけで全ての勇気を使い切ってしまったのか、/n脱がせつつの愛撫にも、パディントンの緊張が緩むことはなく/nむしろ表情はより固くなっているようだった。,,
403999302,2,1,パディントン,「だ、大丈夫です。私が自分からお願いしたことなのですから！/n　全てを委ねると申し上げたところ……ひぁうんっ！？」,,
403999302,3,1,,慎ましやかなパディントンの胸元に手を触れる。/n感電でもしたかのように、身体をびくつかせて反応するパディントン。,,
403999302,4,1,,予想はある程度できていたし、口に出させるのも酷かと迷ったが/n大事なことなので確認する。,,
403999302,5,1,パディントン,「は、はいっ……鉄分注入に限らず、その、男性とこのようなことは/n　まったく経験が……あ、いえっ、もちろん知識は持っております！」,,
403999302,6,1,,知識とやらはつまり、構造や仕組みを丸暗記しているということだろう。/nならば、次に自分の身に起きることも、理解はしているだろうか。,,
403999302,7,1,パディントン,「あっ……は、恥ずかしいので……あまり見ないでください……、/n　んっ……んぅっ……くぅ……っ」,,
403999302,8,1,,パディントンの身体を寝台に横たえる。/n緊張した面持ちのパディントン。/nしかし、丹念に愛撫したおかげで、花弁からは蜜が滴り落ちていた。,,
403999302,9,1,パディントン,「あっ……っん、くぅっ、こんなっ、ふぅっ、大きいのがっ……/n　私の身体の中にっ……はぁっ、あぁ……んぅっ、ふぁっ」,,
403999302,10,1,,まだこちらの先端、より敏感な部分がようやく/nパディントンの中へ飲み込まれたところだ。/nしかし、既に彼女の顔は赤く火照っているようだった。,,
403999302,11,1,パディントン,「大丈夫ですっ……車掌どの、遠慮なく……私の中にっ……/n　ちょっと、んっ、お腹の中がいっぱいみたいになって、苦しいけど……/n　でも平気ですからっ……」,,
403999302,12,1,,こちらの屹立したものを今さら縮めることもできない。/nできるだけ負担にならないようにと、ゆっくりと押し進めていく。/nやがて、さらなる侵入を拒む薄膜の感触に行き当たり、/nパディントンを見つめる。,,
403999302,13,1,パディントン,「はい……もらって……くださいっ……車掌どのにもらっていただけるなら、/n　私は本望ですからぁっ……！」,,
403999302,14,1,,片手はしっかりとパディントンとつなぎ、そして深々と肉竿を挿し――,,
403999302,15,1,パディントン,「――っ！」,,
403999302,16,1,,薄膜を突き破った感触が伝わる。,,
403999302,17,1,パディントン,「はぁっ、あっ……いま、分かりました……っ、/n　車掌どのと私が、一つに繋がってるって……はぁっ、すごく感じます……っ」,,
403999302,18,1,,狭い膣穴を押し広げるようにして、浅い抽送を何度も繰り返していく。/n受け入れた当初は、少し苦しげだったパディントンの吐息に、/n徐々にではあるが色が見え隠れしはじめる。,,
403999302,19,1,パディントン,「んっ、ふぁあああっ……んぁっ、あんっ……だ、だんだんっ、はぁっ、/n　身体の奥が熱くじんわりと……はぁんっ……」,,
403999302,20,1,,狭く圧力の高いパディントンの膣内だが、何度か抜き差しを繰り返すうちに/n徐々にこちらの肉竿に馴染んできていた。/n緩やかにではあるが、既に根元までは飲み込まれている。,,
403999302,21,1,パディントン,「はぁあっ……っん、んぅうっ、だんだん苦しいのよりもっ……/n　身体が熱くなる方が強くなってきてぇ……っ、はぁっ、これが……/n　気持ちいいってこと……なんですかぁっ……？」,,
403999302,22,1,,深く突き立てても、パディントンの顔が紅潮しながらも嬉しそうに、/n少しとろけ始めた表情であることを確かめながら、より深く繋がっていく。,,
403999302,23,1,パディントン,「んっ、はぁっ……車掌どのは、んっ、私の身体で少しは気持ちよくっ、/n　なれているのでしょうかっ……はぁっ、あんっ……私ばかりが/n　してもらう一方では申し訳がなくてっ……んっ、あぁうっ……！」,,
403999302,24,1,,こんなときまで、まして初めてを経験している最中だというのに、/nそんな気遣いをする必要はない。/nそう伝えて、ぎゅっと繋いだ手を握り返す。,,
403999302,25,1,パディントン,「車掌どの……んっ、はぁっ、お優しいのですね……んぁ、はぁっ……！/n　憧れの人というだけでも価値があるのに、/n　こんな優しい人に初めてをもらっていただけるなんて……っ、/n　あ……っん、んんっ、幸せ、ですっ……」,,
403999302,26,1,,気がつけば、すっかりほぐれた彼女の秘肉は、こちらの剛直を受け入れつつ/nその肉襞はしっかりとつかんで離さないようだった。,,
403999302,27,1,,その濡れた感触はこちらの欲望に伝わって、その炎を煽る。/nまだ、ゆっくりほぐしていかなくてはという理性を払い除けて、/n腰つきはどんどん加速してしまう。,,
